,word,freq,likes,rt,reply,quotes
229,entender,22,121.0,6.0,25.0,0.0
230,cada,22,130.0,11.0,24.0,0.0
231,mulher,22,58.0,0.0,27.0,1.0
232,hambúrguer,22,71.0,26.0,28.0,4.0
233,absurdo,21,159.0,5.0,20.0,0.0
234,grande,21,409.0,233.0,34.0,5.0
235,voltar,21,129.0,283.0,49.0,1.0
236,serviço,21,187.0,4839.0,20.0,1.0
237,melhorar,21,37.0,1840.0,13.0,0.0
238,demais,21,260.0,13.0,56.0,6.0
239,pai,21,160.0,6.0,23.0,2.0
240,ser,21,16223.0,10784.0,1862.0,139.0
241,maior,21,100.0,97.0,20.0,0.0
242,kkk,21,53.0,34.0,20.0,0.0
243,sentir,21,448.0,104.0,52.0,5.0
244,meio,21,101.0,2.0,19.0,1.0
245,tbm,21,204.0,67.0,40.0,21.0
246,jeito,20,73.0,7.0,29.0,1.0
247,cidade,20,154.0,1.0,41.0,1.0
248,virar,20,126.0,3.0,24.0,1.0
249,amg,20,20.0,0.0,15.0,0.0
250,alguem,20,7.0,6.0,9.0,0.0
251,marmita,20,150.0,4.0,22.0,1.0
252,sushi,20,145.0,9.0,29.0,1.0
253,responder,20,135.0,2.0,71.0,0.0
254,sonhar,20,88.0,2407.0,10.0,1.0
255,cabeça,20,66.0,9.0,21.0,1.0
256,ped,20,0.0,2.0,0.0,0.0
257,pão,20,50.0,10.0,20.0,1.0
258,clube,19,57.0,5.0,18.0,0.0
259,devolver,19,3039.0,617.0,158.0,17.0
260,pouco,19,50.0,11.0,20.0,2.0
261,cliente,19,1336.0,69.0,53.0,3.0
262,buscar,19,104.0,9.0,24.0,1.0
263,kkkkk,19,66.0,8.0,32.0,2.0
264,conhecer,19,79.0,2396.0,22.0,0.0
265,suportar,19,253.0,4.0,24.0,0.0
266,faltar,18,171.0,14.0,31.0,0.0
267,moço,18,66.0,0.0,14.0,1.0
268,notificação,18,120.0,99.0,24.0,2.0
269,viciar,18,12.0,2.0,4.0,0.0
270,satxnaries,18,,,,
271,cozinhar,18,103.0,0.0,29.0,1.0
272,encontrar,18,93.0,55.0,20.0,4.0
273,irmão,18,50.0,24.0,21.0,0.0
274,endereçar,18,163.0,1.0,41.0,3.0
275,pastel,18,44.0,0.0,24.0,2.0
276,saldar,18,78.0,8.0,15.0,2.0
277,mimar,18,47.0,1.0,16.0,1.0
278,merecer,18,78.0,5.0,13.0,0.0
279,cadastrar,18,68.0,86.0,17.0,0.0
280,loichernandez,18,,,,
281,segundo,17,76.0,0.0,12.0,1.0
282,trazer,17,85.0,24.0,14.0,3.0
283,mensagem,17,106.0,20.0,22.0,2.0
284,atar,17,30.0,3.0,21.0,4.0
285,desejar,17,43.0,0.0,14.0,0.0
286,graça,17,72.0,91.0,24.0,0.0
287,ligar,17,112.0,43.0,36.0,5.0
288,antar,17,98.0,3.0,19.0,1.0
289,café,17,138.0,3.0,24.0,0.0
290,ler,17,41.0,5.0,8.0,2.0
291,fechar,17,132.0,159.0,37.0,2.0
292,mesmo,17,518.0,583.0,135.0,7.0
293,mcdonalds,17,3.0,0.0,2.0,0.0
294,fatura,17,141.0,10.0,21.0,0.0
295,batata,17,361.0,206.0,41.0,42.0
296,baixar,17,58.0,3.0,18.0,2.0
297,rir,16,373.0,206.0,38.0,7.0
298,voucher,16,31.0,6.0,15.0,1.0
299,perguntar,16,455.0,1521.0,22.0,1.0
300,viver,16,97.0,4.0,20.0,0.0
301,partir,16,198.0,32.0,59.0,1.0
302,sacanagem,16,23.0,22.0,7.0,0.0
303,bater,16,1251.0,65.0,24.0,2.0
304,moto,16,2442.0,4358.0,230.0,32.0
305,cmg,16,32.0,0.0,11.0,0.0
306,funcionar,16,39.0,16.0,11.0,0.0
307,burgerkingbr,16,,,,
308,vfnatal,16,,,,
309,trocar,15,35.0,2719.0,19.0,0.0
310,pessoal,15,1547.0,2388.0,135.0,22.0
311,reclamação,15,1079.0,38.0,21.0,0.0
312,mto,15,25.0,0.0,15.0,3.0
313,gostoso,15,29.0,720.0,20.0,1.0
314,cobrar,15,194.0,31.0,48.0,0.0
315,difícil,15,32.0,0.0,20.0,1.0
316,qualquer,15,56.0,6.0,23.0,1.0
317,descer,15,30.0,0.0,11.0,3.0
318,mau,15,36.0,3.0,12.0,1.0
319,parecer,15,171.0,4.0,22.0,1.0
320,decidir,15,160.0,168.0,42.0,6.0
321,preguiçar,15,51.0,0.0,16.0,2.0
322,ent,15,1.0,0.0,3.0,1.0
323,card,15,119.0,13.0,126.0,14.0
324,sera,15,8.0,950.0,12.0,0.0
325,sortir,15,65.0,2.0,8.0,0.0
326,vei,15,59.0,1.0,9.0,0.0
327,flamengo,15,224.0,79.0,22.0,7.0
328,jurar,14,101.0,12.0,21.0,1.0
329,celular,14,169.0,14.0,36.0,2.0
330,ngm,14,29.0,1.0,10.0,1.0
331,foto,14,3193.0,108.0,38.0,1.0
332,cadê,14,31.0,0.0,3.0,0.0
333,saudade,14,6.0,9.0,3.0,0.0
334,clonar,14,43.0,0.0,35.0,0.0
335,mear,14,82.0,6.0,22.0,1.0
336,meter,14,36.0,136.0,8.0,0.0
337,seguir,14,62.0,3489.0,17.0,0.0
338,olá,14,8.0,6.0,2.0,1.0
339,raivar,14,63.0,3.0,12.0,1.0
